SHA-256 / MD5,Label A,Source A,URL A,Label B,Source B,URL B
a99eb900d03aa1dd70d7712da7c42cc37ee2f2e21d763acd6ddf71a4027ed504,Anubis,Fortinet,https://www.fortinet.com/blog/threat-research/new-wave-bianlian-malware,Hydra,IBM,https://exchange.xforce.ibmcloud.com/collection/New-BianLian-Variant-a4c254899f2dff8d0fa046400b732c78
ff2571449eb35c00599a5ad0c7c65348220212229b75d695a9cc26dbcc54c49d,Youzicheng,Kaspersky,https://securelist.com/cookiethief/96332/,Cookiethief,IBM,https://exchange.xforce.ibmcloud.com/collection/3ce84952e15aff88cf2a911e2f3fe4c6
1032b42c859c747bcc159b75366c3325869d3722f5673d13a7b06633245ebf32,AmexTroll,ThreatFabric,https://www.threatfabric.com/blogs/brata-a-tale-of-three-families,Ermac,ThreatFabric,https://www.threatfabric.com/blogs/ermac-another-cerberus-reborn
5022495104c280286e65184e3164f3f248356d065ad76acef48ee2ce244ffdc8/870697ddb36a8f205478c2338d7e6bc7,Wroba,Kaspersky,https://securelist.com/roaming-mantis-part-iv/90332/,Xloader,Trendmicro,https://www.trendmicro.com/en_us/research/19/d/new-version-of-xloader-that-disguises-as-android-apps-and-an-ios-profile-holds-new-links-to-fakespy.html#
